,date,new_confirmed,State,Region,categorical_id,day_of_week,categorical_month,days_from_start,week_of_year,week_from_start,categorical_day_of_week,categorical_week,categorical_week_from_start,stringency_index,government_response_index,containment_health_index,economic_support_index,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,protection_elderly,new_confirmed_lag_42,new_confirmed_lag_49,stringency_index_lag_42,stringency_index_lag_49,government_response_index_lag_42,government_response_index_lag_49,containment_health_index_lag_42,containment_health_index_lag_49,economic_support_index_lag_42,economic_support_index_lag_49,school_closing_lag_42,school_closing_lag_49,workplace_closing_lag_42,workplace_closing_lag_49,cancel_public_events_lag_42,cancel_public_events_lag_49,restrictions_on_gatherings_lag_42,restrictions_on_gatherings_lag_49,public_transport_closing_lag_42,public_transport_closing_lag_49,stay_at_home_requirements_lag_42,stay_at_home_requirements_lag_49,restrictions_on_internal_movement_lag_42,restrictions_on_internal_movement_lag_49,international_travel_controls_lag_42,international_travel_controls_lag_49,income_support_lag_42,income_support_lag_49,debt_relief_lag_42,debt_relief_lag_49,public_information_campaigns_lag_42,public_information_campaigns_lag_49,testing_policy_lag_42,testing_policy_lag_49,contact_tracing_lag_42,contact_tracing_lag_49,facial_coverings_lag_42,facial_coverings_lag_49,vaccination_policy_lag_42,vaccination_policy_lag_49,protection_elderly_lag_42,protection_elderly_lag_49,country,is_holiday,is_holiday_lag_1,is_holiday_lag_2,is_holiday_lag_3
263,2020-11-19,7448.0,Wisconsin,WI,47,3,11,263,47,38,3,47,38,47.69,48.96,50.6,37.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,3274,3000,38.43,33.8,46.88,44.27,48.21,45.24,37.5,37.5,2,2,1,1,1,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,2,2,3,3,0,0,2,2,US,False,False,False,False
264,2020-11-20,7077.0,Wisconsin,WI,47,4,11,264,47,38,4,47,38,47.69,48.96,50.6,37.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,3164,2825,38.43,33.8,46.88,44.27,48.21,45.24,37.5,37.5,2,2,1,1,1,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,2,2,3,3,0,0,2,2,US,False,False,False,False
265,2020-11-21,7029.0,Wisconsin,WI,47,5,11,265,47,38,5,47,38,47.69,48.96,50.6,37.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,2971,3054,38.43,33.8,46.88,44.27,48.21,45.24,37.5,37.5,2,2,1,1,1,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,2,2,3,3,0,0,2,2,US,False,False,False,False
266,2020-11-22,4019.0,Wisconsin,WI,47,6,11,266,47,39,6,47,39,47.69,48.96,50.6,37.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,2713,1926,38.43,33.8,46.88,44.27,48.21,45.24,37.5,37.5,2,2,1,1,1,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,2,2,3,3,0,0,2,2,US,False,False,False,False
267,2020-11-23,3455.0,Wisconsin,WI,47,0,11,267,48,39,0,48,39,47.69,48.96,50.6,37.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,2016,1727,38.43,33.8,46.88,44.27,48.21,45.24,37.5,37.5,2,2,1,1,1,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,2,2,3,3,0,0,2,2,US,False,False,False,False
268,2020-11-24,6748.0,Wisconsin,WI,47,1,11,268,48,39,1,48,39,47.69,48.96,50.6,37.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,3428,2075,38.43,33.8,46.88,44.27,48.21,45.24,37.5,37.5,2,2,1,1,1,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,2,2,3,3,0,0,2,2,US,False,False,False,False
269,2020-11-25,5997.0,Wisconsin,WI,47,2,11,269,48,39,2,48,39,47.69,48.96,50.6,37.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,3323,2463,38.43,33.8,46.88,44.27,48.21,45.24,37.5,37.5,2,2,1,1,1,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,2,2,3,3,0,0,2,2,US,False,False,True,False
270,2020-11-26,5666.0,Wisconsin,WI,47,3,11,270,48,39,3,48,39,47.69,48.96,50.6,37.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,4040,3274,38.43,38.43,46.88,46.88,48.21,48.21,37.5,37.5,2,2,1,1,1,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,2,2,3,3,0,0,2,2,US,True,False,False,False
271,2020-11-27,1422.0,Wisconsin,WI,47,4,11,271,48,39,4,48,39,47.69,48.96,50.6,37.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,4105,3164,38.43,38.43,46.88,46.88,48.21,48.21,37.5,37.5,2,2,1,1,1,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,2,2,3,3,0,0,2,2,US,False,False,False,False
272,2020-11-28,5473.0,Wisconsin,WI,47,5,11,272,48,39,5,48,39,47.69,48.96,50.6,37.5,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,4105,2971,38.43,38.43,46.88,46.88,48.21,48.21,37.5,37.5,2,2,1,1,1,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,2,2,3,3,0,0,2,2,US,False,False,False,False
