ORIGIN,DEST,COUNT
HI,AK,303.0
HI,AZ,2942.0
HI,CA,30811.0
HI,CO,1448.0
HI,FL,123.0
HI,GA,334.0
HI,HI,60218.0
HI,IL,672.0
HI,MA,193.0
HI,MN,277.0
HI,NC,6.0
HI,NJ,344.0
HI,NV,2649.0
HI,NY,334.0
HI,OR,1655.0
HI,TT,386.0
HI,TX,1695.0
HI,UT,469.0
HI,VA,95.0
HI,WA,5579.0
IA,AZ,1322.0
IA,CA,261.0
IA,CO,3386.0
IA,FL,1354.0
IA,GA,1355.0
IA,IA,310.0
IA,IL,5668.0
IA,MI,1386.0
IA,MN,1733.0
IA,MO,536.0
IA,NC,1444.0
IA,NJ,47.0
IA,NV,591.0
IA,NY,294.0
IA,OH,3.0
IA,OR,58.0
IA,TN,208.0
IA,TX,2914.0
IA,UT,46.0
IA,VA,658.0
ID,AZ,2266.0
ID,CA,6960.0
ID,CO,3715.0
ID,GA,341.0
ID,ID,228.0
ID,IL,1132.0
ID,MN,699.0
ID,NV,962.0
ID,OR,1318.0
ID,TX,1919.0
ID,UT,4967.0
ID,WA,6834.0
IL,AK,758.0
IL,AL,1481.0
IL,AR,2571.0
IL,AZ,8416.0
IL,CA,20982.0
IL,CO,12132.0
IL,CT,2418.0
IL,FL,29719.0
IL,GA,9971.0
IL,HI,672.0
IL,IA,5664.0
IL,ID,1130.0
IL,IL,7473.0
IL,IN,5233.0
IL,KS,2236.0
IL,KY,6899.0
IL,LA,2460.0
IL,MA,7192.0
IL,MD,4439.0
IL,ME,1124.0
IL,MI,14556.0
IL,MN,8594.0
IL,MO,10746.0
IL,MT,1118.0
IL,NC,8914.0
IL,ND,1110.0
IL,NE,3580.0
IL,NH,721.0
IL,NJ,5207.0
IL,NM,1082.0
IL,NV,7798.0
IL,NY,24461.0
IL,OH,8408.0
IL,OK,3246.0
IL,OR,2144.0
IL,PA,11010.0
IL,PR,638.0
IL,RI,1468.0
IL,SC,3901.0
IL,SD,1645.0
IL,TN,9623.0
IL,TX,25715.0
IL,UT,3215.0
IL,VA,13731.0
IL,VI,83.0
IL,VT,801.0
IL,WA,5049.0
IL,WI,7219.0
IL,WV,798.0
IL,WY,474.0
IN,AL,4.0
IN,AZ,1456.0
IN,CA,955.0
IN,CO,1900.0
IN,FL,7540.0
IN,GA,5359.0
IN,IL,5112.0
IN,LA,19.0
IN,MA,1594.0
IN,MD,812.0
IN,MI,1981.0
IN,MN,1849.0
IN,NC,2553.0
